Car,Year,Price,Color,Fuel,Origin,License,Gear,Glass,Power,Meter,Passengers,Payment,Previous_owners,Condition,Central_locking,Alarm,Radio,Sunroof,Magnesium_wheels,Leather_seats,Airbag,For_sale,For_exchange
Skoda,2016,74500,أبيض,1,خصوصي,1,2,1,1200,4,5,0,0,1,1,1,0,0,1,0,0,1,0
BMW,1989,30000,أبيض,1,خصوصي,1,0,1,1600,0,5,1,0,1,1,1,1,1,1,1,1,1,1
Peugeot,1998,3500,أحمر,1,خصوصي,0,0,1,1400,3,5,0,2,0,0,0,1,0,1,1,0,1,0
Skoda,2006,52000,رمادي,0,عمومي,1,0,1,1900,3,5,0,2,1,1,0,1,1,1,1,1,1,0
Hyundai,2013,105000,أسود,0,خصوصي,1,2,1,2000,3,6,0,2,1,1,1,1,1,1,1,1,1,0
Skoda,2009,64000,أبيض,0,عمومي,1,2,1,1900,4,5,0,3,1,1,1,1,0,1,0,1,1,0
Volkswagen,2011,95000,أسود,1,خصوصي,1,0,1,1400,3,5,1,2,1,1,1,1,1,1,0,1,1,1
Fiat,2015,51000,أسود,1,خصوصي,1,0,1,1250,4,5,0,0,1,1,1,1,0,0,1,1,1,0
Hyundai,2008,58000,أسود,1,خصوصي,1,2,1,2000,1,5,1,3,1,1,0,1,1,1,1,1,1,1
Seat,2015,73000,عدة الوان,1,خصوصي,1,0,1,1200,3,5,0,2,1,1,1,1,0,1,0,1,1,0
Daewoo,2000,25000,سكني,1,خصوصي,1,0,0,1500,3,5,0,2,0,0,0,0,0,0,0,0,1,0
Opel,2008,43000,أزرق سماوي,1,خصوصي,1,0,1,1400,3,5,0,2,1,1,1,1,0,0,0,1,1,0
Hyundai,2013,66500,أبيض عاجي,0,خصوصي,1,2,1,1600,2,5,1,1,1,1,1,1,0,1,1,1,1,1
Mercedes,1992,25000,أسود,0,عمومي,1,0,0,2500,4,8,1,0,0,0,0,1,0,1,1,1,1,0
Kia,2014,90000,فضي,1,خصوصي,1,1,1,2000,4,6,1,2,1,1,1,1,0,1,1,1,1,1
Peugeot,2014,78000,رصاصي,0,خصوصي,1,2,1,1600,3,5,1,0,0,1,1,1,0,0,0,1,1,1
BMW,1998,60000,خمري,1,خصوصي,1,2,1,2800,1,5,0,4,1,1,1,1,1,1,1,1,1,0
Volkswagen,2012,90000,بترولي,1,خصوصي,1,2,1,1400,3,5,0,2,1,1,0,1,0,1,0,1,1,0
Citroen,2013,100000,فضي,0,خصوصي,1,2,1,1600,3,7,1,1,1,1,1,0,0,1,0,1,1,1
Subaru,1984,9500,فضي,1,خصوصي,1,0,0,1600,3,5,0,2,0,0,0,0,0,0,0,0,1,0
Honda,2007,47000,أبيض عاجي,1,خصوصي,1,2,1,1800,3,5,0,1,1,1,0,1,0,0,1,1,1,0
Skoda,2015,110000,أزرق,0,خصوصي,1,0,1,1600,4,6,1,0,1,1,1,1,0,1,0,1,1,0
